matricola,voto
555065,15
555205,23
555390,15
555085,17
555345,14
555235,27
555085,29
555270,19
555160,25
555260,12
555175,19
555135,25
555355,21
555000,12
555375,28
555250,18
555125,22
555020,23
555155,22
555045,22
555290,28
555320,31
555190,30
555265,18
555210,16
555145,30
555240,23
555160,30
555005,28
555280,29
555395,17
555145,14
555010,21
555295,27
555225,24
555325,19
555290,16
555155,26
555330,14
555245,12
555280,26
555080,23
555180,24
555005,26
555105,20
555320,28
555320,13
555055,18
555000,20
555365,18
555130,26
555220,31
555075,20
555080,16
555285,31
555145,28
555245,16
555175,25
555070,28
555160,19
