matricola,voto
555390,25
555045,20
555115,29
555020,24
555140,23
555385,15
555080,17
555240,27
555065,18
555150,30
555375,15
555160,30
555125,21
555035,15
555300,23
555125,27
555215,30
555250,25
555315,16
555215,19
555155,12
555375,19
555305,19
555320,13
555100,14
555325,26
555365,24
555065,24
555390,21
555260,16
555390,12
555300,29
555135,20
555030,12
555140,27
555120,29
555195,31
555345,29
555395,26
555005,31
555165,12
555025,19
555115,30
555380,12
555130,18
555135,12
555145,31
555130,19
555290,27
555030,26
555110,27
555030,15
555375,12
555205,31
555125,27
555075,21
555205,16
555350,24
555235,25
555025,29
