matricola,voto
555030,23
555020,23
555210,30
555170,15
555020,27
555280,14
555150,27
555015,31
555185,12
555035,12
555145,16
555215,22
555105,18
555000,30
555190,24
555045,18
555290,16
555295,21
555245,29
555265,30
555390,12
555340,16
555050,14
555280,25
555305,21
555015,30
555170,31
555365,14
555295,21
555110,27
555250,21
555235,24
555280,23
555230,25
555095,19
555225,20
555380,24
555365,29
555255,18
555275,30
555065,29
555005,19
555230,26
555285,21
555245,27
555245,28
555040,22
555130,18
555055,19
555155,28
555220,27
555130,30
555115,24
555045,12
555185,24
555125,21
555395,30
555305,21
555170,26
555300,12
