matricola,voto
555145,28
555385,14
555385,29
555025,26
555090,22
555275,26
555120,21
555210,12
555350,20
555050,24
555310,20
555340,28
555045,28
555180,30
555245,12
555170,12
555355,25
555140,17
555130,28
555225,28
555295,12
555340,15
555375,20
555110,21
555075,16
555380,29
555170,30
555055,20
555315,29
555135,29
555060,23
555075,13
555035,21
555000,19
555355,13
555110,15
555090,21
555105,22
555045,24
555075,12
555260,29
555245,14
555050,13
555035,23
555145,13
555300,14
555380,14
555285,21
555190,25
555245,25
555190,19
555080,18
555090,28
555340,21
555095,29
555040,20
555385,23
555115,12
555055,28
555285,26
