matricola,voto
555135,26
555255,25
555120,26
555345,19
555250,14
555150,23
555230,22
555020,22
555255,22
555300,30
555350,27
555335,27
555270,25
555280,30
555195,23
555085,25
555185,30
555355,26
555390,22
555150,23
555250,29
555085,19
555145,15
555300,17
555205,22
555060,14
555290,25
555220,21
555195,30
555045,17
555355,25
555100,18
555165,18
555340,24
555305,16
555130,21
555270,19
555375,29
555275,30
555030,14
555145,21
555230,16
555255,27
555255,18
555155,16
555100,31
555345,31
555305,22
555215,19
555140,16
555330,24
555375,12
555045,16
555240,31
555230,26
555205,17
555210,28
555180,28
555125,13
555375,23
