matricola,voto
555010,22
555320,29
555310,17
555085,31
555120,24
555055,24
555295,15
555360,15
555335,28
555395,25
555305,20
555065,14
555010,28
555275,30
555245,28
555365,13
555145,18
555345,16
555285,17
555025,15
555385,23
555285,24
555100,20
555260,23
555155,21
555315,13
555165,29
555075,16
555205,21
555035,21
555030,31
555205,25
555015,16
555260,21
555220,26
555315,20
555240,23
555090,25
555350,14
555100,29
555345,14
555370,31
555195,21
555010,23
555245,15
555350,22
555270,16
555010,16
555265,15
555295,16
555015,26
555190,15
555215,12
555095,18
555340,12
555290,23
555270,12
555135,27
555075,16
555395,30
