matricola,voto
555060,16
555390,26
555170,17
555020,25
555395,22
555200,23
555385,28
555030,26
555380,12
555305,16
555180,17
555385,27
555105,28
555025,26
555265,24
555350,18
555375,15
555220,19
555025,19
555020,24
555205,19
555005,12
555225,30
555375,22
555310,19
555035,17
555040,31
555120,22
555385,26
555340,17
555300,15
555345,23
555300,20
555395,14
555255,21
555185,12
555390,18
555095,16
555100,19
555145,21
555245,25
555210,15
555340,23
555100,27
555060,13
555115,19
555225,24
555310,24
555365,14
555250,12
555050,27
555330,14
555110,24
555075,24
555170,24
555365,19
555360,17
555245,15
555085,14
555030,17
