matricola,voto
563255,19
560577,22
559165,18
559564,26
560695,30
559888,18
560177,23
564596,18
560731,21
566993,22
561843,23
560124,31
560654,31
560456,30
559522,30
547139,22
560882,20
561468,31
564883,27
558666,19
559057,26
562648,26
560298,30
559010,26
558535,28
564697,29
565275,18
565375,20
511104,25
533062,25
554387,28
522715,28
546979,18
559843,30
558851,29
562335,28
558688,29
559298,29
567403,30
546457,29
580415,28
522757,29
559549,29
565538,29
559909,27
559443,30
559320,29
558824,29
559425,29
561883,28
566835,26
559571,28
558498,28
566829,28
561324,25
562316,28
562373,28
567104,27
562890,28
561111,28
546668,27
562756,19
558744,18
564859,26
565193,27
559910,26
561105,26
559633,26
580518,25
562934,26
560856,23
559617,23
558543,26
561636,19
559995,20
550427,25
558944,25
566838,25
565910,25
564667,25
566401,23
561611,25
560176,26
558773,25
560586,25
562160,25
562055,25
564375,25
562280,24
563452,25
558793,18
558758,18
546965,25
551428,21
563179,1
561673,24
560234,21
563758,25
566188,25
562561,24
550116,23
562305,23
557052,23
549121,23
546771,23
558743,18
558827,23
562527,23
561364,22
563098,1
562034,1
565902,1
561762,22
