matricola,voto
492586,19
511361,28
512549,20
524464,19
525408,20
526299,22
533016,1
533755,19
534206,18
538187,26
539764,29
546668,30
546918,1
546981,24
547039,26
547108,23
548008,1
548264,22
549344,22
550032,1
550116,28
551363,1
551428,25
552751,22
553568,27
554387,27
555463,1
558511,18
558535,31
558543,30
558582,1
558586,26
558658,20
558688,24
558711,21
558743,28
558773,29
558792,1
558824,21
558827,20
558851,30
558944,18
559057,30
559058,1
559163,22
559165,28
559298,29
559320,31
559425,29
559443,30
559549,29
559564,28
559571,22
559617,28
559635,20
559784,24
559843,29
559879,20
559888,30
559909,19
559910,27
559945,1
560045,21
560124,31
560176,29
560177,26
560298,26
560456,26
560575,1
560577,29
560613,22
560628,1
560654,30
560695,29
560706,1
560731,1
560793,26
560856,21
560866,27
561105,27
561111,25
561154,1
561319,19
561331,27
561468,31
561611,22
561806,30
561843,22
561883,22
561936,25
562037,1
562277,1
562280,25
562305,28
562335,31
562393,1
562457,22
562495,22
562561,27
562648,26
562733,28
562756,27
562814,1
562934,27
563255,25
563427,1
563614,25
563674,22
563688,1
563729,30
563758,25
563992,1
564232,24
564375,29
564416,24
564473,28
564596,23
564667,30
564697,31
564702,1
564883,28
565147,24
565193,24
565221,18
565235,26
565375,29
565538,28
565562,1
565688,22
565700,28
565910,1
565993,20
566077,1
566188,31
566401,1
566744,1
566829,31
566836,24
566838,1
566967,1
566998,24
567403,29
567695,26
567732,1
