matricola,voto
546899,23
520826,20
559564,31
549672,30
560577,19
560124,31
562305,29
559298,24
510309,0
559910,30
521705,1
523953,0
564667,30
559425,21
535665,21
560882,1
538187,0
563758,1
562906,0
540551,29
559549,31
562335,31
560456,31
560654,31
565004,1
561111,1
558793,25
559522,20
524783,1
558688,24
534274,1
565538,23
511046,30
559165,24
560695,18
546523,18
515227,0
558824,31
560298,20
562378,21
565910,28
559502,0
512377,24
564596,24
560176,31
548008,0
522067,1
546981,0
510116,27
535921,1
492486,0
579311,0
537569,1
533954,23
546668,22
526299,1
538623,26
559320,31
522715,27
561751,1
533062,21
